11 200;11 500;11 700;11 900;12 200;12 400;12 600;12 800;13 100;13 300;13 500;13 700;13 900;14 200;14 400;14 600;14 900;15 100;15 300;15 500;15 800;16 000;16 200;16 400;16 700;16 900;17 100;17 400;17 600;17 800;18 100;18 300;18 600;18 800;19 100;19 300;19 600;19 900;20 200;20 500;20 800;21 100;21 400;21 700;22 000;22 300;22 600;22 900;23 300;23 600;23 900;24 300;24 700;25 000;25 400;25 900;26 300;26 700;27 100;27 500;27 900;28 400;28 800;29 300;29 800;30 300;30 900;31 500;32 000;32 600;33 200;33 900;34 500;35 200;36 000;36 700;37 500;38 300;39 200;40 000;41 000;42 000;42 900;43 700;44 900;46 200;47 800;49 600;51 400;53 600;56 300;59 500;63 500;68 600;75 300;83 700;96 400;116 000;166 000
0.01;0.02;0.03;0.04;0.05;0.06;0.07;0.08;0.09;0.10;0.11;0.12;0.13;0.14;0.15;0.16;0.17;0.18;0.19;0.20;0.21;0.22;0.23;0.24;0.25;0.26;0.27;0.28;0.29;0.30;0.31;0.32;0.33;0.34;0.35;0.36;0.37;0.38;0.39;0.40;0.41;0.42;0.43;0.44;0.45;0.46;0.47;0.48;0.49;0.50;0.51;0.52;0.53;0.54;0.55;0.56;0.57;0.58;0.59;0.60;0.61;0.62;0.63;0.64;0.65;0.66;0.67;0.68;0.69;0.70;0.71;0.72;0.73;0.74;0.75;0.76;0.77;0.78;0.79;0.80;0.81;0.82;0.83;0.84;0.85;0.86;0.87;0.88;0.89;0.90;0.91;0.92;0.93;0.94;0.95;0.96;0.97;0.98;0.99
